id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9614785,Serene in Sunset,6040624,Dan,Brooklyn,Sunset Park,40.6454,-74.00782,Entire home/apt,155,1,138,2019-06-22,3.14,1,225
9614933,Prime location Williamsburg Apt,32971323,Shivangi,Brooklyn,Williamsburg,40.70863,-73.95328,Private room,80,14,0,,,1,0
9614969,Cozy Room in East Harlem,49673620,Vanessa,Manhattan,East Harlem,40.79651,-73.93184,Private room,60,3,10,2019-01-02,0.23,1,0
9615209,Cozy Studio in Luxury Building LIC,49746656,Elva,Queens,Long Island City,40.74572,-73.95679,Entire home/apt,85,5,1,2016-08-13,0.03,1,0
9615417,"Private BRoom ,Bathroom & backyard",6628233,Maia,Brooklyn,Bedford-Stuyvesant,40.68534,-73.95533,Private room,90,4,0,,,1,0
9615485,Spacious private bedroom 1 stop to Manhattan,35320945,Peggy,Manhattan,Roosevelt Island,40.76108,-73.95058,Private room,70,2,5,2017-03-25,0.14,1,0
9615727,Slice of paradise in Bushwick!,3501254,Brett,Brooklyn,Bushwick,40.70393,-73.9284,Private room,50,5,1,2016-01-06,0.02,1,66
9615815,Sunny and Cozy apt in Midtown,16396714,Andrea,Manhattan,Kips Bay,40.74054,-73.97626,Entire home/apt,120,3,1,2017-07-08,0.04,3,0
9616453,Room next to Columbia University,49753169,Juan Luis,Manhattan,Morningside Heights,40.80838,-73.95995,Private room,75,2,1,2016-01-06,0.02,1,0
9616729,cute and cozy room in brooklyn,49754509,Ornella,Brooklyn,Bedford-Stuyvesant,40.68901,-73.95057,Private room,31,2,1,2015-12-30,0.02,1,0
9617219,Studio One Deluxe Private Room (private bathroom),47784768,Yemi,Brooklyn,Brownsville,40.66374,-73.91733,Private room,79,2,70,2019-06-23,1.60,2,253
9618477,Warm Warm Wooded Quiet City Escape,38284667,Ruth,Manhattan,East Village,40.72888,-73.98193,Entire home/apt,160,160,2,2015-12-14,0.05,2,363
9618986,1 Bedrom Apt(One Block From Subway),49764808,Danielle,Brooklyn,Bedford-Stuyvesant,40.67695,-73.91567,Entire home/apt,99,2,96,2019-06-23,2.50,2,357
9619848,Beautiful apt 2 blocks from Central Park,1509237,Leandro,Manhattan,East Harlem,40.79686,-73.9459,Entire home/apt,199,2,5,2019-05-02,0.12,2,177
9623722,One of a Kind Duplex Garden Apt,518931,Amal,Manhattan,Harlem,40.80263,-73.94662,Entire home/apt,260,3,38,2019-07-02,0.94,1,296
9624177,Great modern apt in Williamsburg,623474,Bridget,Brooklyn,Williamsburg,40.70983,-73.96494,Entire home/apt,200,6,0,,,1,0
9625266,West 57th Street in Manhattan,41702722,Pür,Manhattan,Midtown,40.76278,-73.97443,Entire home/apt,395,7,0,,,1,0
9625826,Home Sweet Home in Brooklyn,11497855,Lina,Brooklyn,Prospect-Lefferts Gardens,40.66145,-73.96005,Private room,65,10,1,2016-01-12,0.02,1,0
9625926,2 bedroom in Cobble Hill,156959,Ekaterina,Brooklyn,Carroll Gardens,40.68406,-73.99156,Entire home/apt,219,2,0,,,2,0
9627513,Cozy 4br in the heart of Harlem,36792245,Kilandra,Manhattan,Harlem,40.80272,-73.95564,Private room,60,2,8,2016-08-22,0.19,1,0
9628471,Peaceful Brooklyn Sancutary,2247187,Simone,Brooklyn,Bedford-Stuyvesant,40.68545,-73.95883,Private room,45,25,1,2018-01-02,0.05,1,19
9630295,Beautiful Bed Stuy Brownstone Subl,49807145,Eric,Brooklyn,Bedford-Stuyvesant,40.68379,-73.94648,Private room,60,60,34,2018-08-02,0.79,1,189
9630342,Quiet Studio in Prime East Village,49807312,Ryan,Manhattan,East Village,40.72554,-73.9838,Entire home/apt,107,3,19,2019-06-23,0.44,1,72
9631380,Doorman Laundry Large Studio 5195,16098958,Jeremy & Laura,Manhattan,Hell's Kitchen,40.7659,-73.98674,Entire home/apt,230,30,1,2018-10-31,0.12,96,281
9631464,Doorman Swim. Pool 2 bed 2bath!5126,16098958,Jeremy & Laura,Manhattan,Upper West Side,40.79509,-73.96649,Entire home/apt,288,30,0,,,96,311
9633119,Feel.Like.A.Local in Williamsburg,47640633,Murat,Brooklyn,Williamsburg,40.71621,-73.93941,Private room,50,7,0,,,1,0
9633323,EmpireStateView one bedroom apart,23312516,Vera,Queens,Astoria,40.75697,-73.91847,Entire home/apt,130,3,39,2019-06-30,0.89,1,331
9633740,1 Bedroom within Full Apartment,6753765,Austin,Manhattan,East Village,40.72422,-73.98465,Shared room,85,2,2,2017-01-04,0.05,3,0
9633920,"Sunny, quiet, minimalist 1 bdrm apt in Brooklyn",7631412,Amy,Brooklyn,Crown Heights,40.66426,-73.94758,Entire home/apt,80,2,18,2019-05-27,0.42,1,0
9634829,Spacious 1bd in 2bd Harlem/UWS Area,12298772,Harrison,Manhattan,Harlem,40.80464,-73.95637,Private room,84,2,3,2016-05-21,0.07,1,0
9634880,"Spacious, private living + bedroom in BedStuy",18330683,Iris,Brooklyn,Bedford-Stuyvesant,40.68608,-73.93015,Private room,63,3,15,2018-09-16,0.35,1,0
9635223,Beautiful Red Brick Room,49827772,Rebecca,Brooklyn,Bedford-Stuyvesant,40.68661,-73.91944,Private room,45,2,1,2016-01-02,0.02,1,0
9635607,Suite Oasis - Luxurious & Cozy Apt,49831860,Robert,Brooklyn,Canarsie,40.6424,-73.91275,Entire home/apt,125,2,172,2019-06-23,4.01,2,155
9635880,Private room in Lux Boho Loft,49742862,Angela,Brooklyn,Greenpoint,40.73168,-73.95829,Private room,160,2,5,2018-03-31,0.12,2,0
9635981,Sweet apt by Prospect Park - 20 minutes from NYC,298841,Ella,Brooklyn,Windsor Terrace,40.65992,-73.98403,Private room,63,2,22,2019-05-14,0.51,1,48
9637937,Art Lovers Lower East Side 2bedroom,24298532,Brian,Manhattan,Lower East Side,40.72043,-73.98916,Private room,125,1,85,2019-06-29,2.23,1,335
9644430,Cosy room in a sunny Brooklyn flat,11132113,Arno,Brooklyn,Bedford-Stuyvesant,40.68673,-73.95829,Private room,45,3,1,2016-01-09,0.02,1,0
9644961,Amazing loft in Williamsburg,7897771,Nour,Brooklyn,Williamsburg,40.71769,-73.9544,Private room,115,3,3,2016-01-26,0.07,1,0
9645073,Downtown Manhattan Modern Gem!!,49808435,Alexandra,Manhattan,Gramercy,40.73857,-73.98335,Entire home/apt,269,3,145,2019-06-20,3.31,1,110
9645338,Lovely room in prime Crown Heights,14965776,Kyra,Brooklyn,Crown Heights,40.66931,-73.9555,Private room,55,5,5,2017-08-04,0.12,1,0
9645768,Prime West village studio apartment,49873719,Jil,Manhattan,West Village,40.72941,-74.00481,Entire home/apt,150,7,0,,,1,0
9645934,Great NYC Apt in Forest Hills,2204011,Beto,Queens,Forest Hills,40.71322,-73.83493,Entire home/apt,100,4,11,2019-01-15,0.31,1,15
9646346,Large 1 Bed Apartment East Village,18668835,Elaine,Manhattan,East Village,40.7233,-73.98819,Entire home/apt,190,1,0,,,1,0
9646874,"Cozy, bohemian, modern oasis",1120455,Shetal,Brooklyn,Greenpoint,40.72798,-73.95038,Entire home/apt,150,7,0,,,1,0
9647235,Excellent condition condo Apt,49879147,Rohit,Queens,Forest Hills,40.7276,-73.85183,Private room,75,1,0,,,1,0
9647450,Be Comfy Loft Bedroom,47341341,Imad,Brooklyn,Midwood,40.61952,-73.96928,Private room,59,28,2,2015-12-09,0.05,1,365
9649558,Sunny with 2 large bedrooms,48576700,Ayanna,Brooklyn,Clinton Hill,40.69347,-73.967,Entire home/apt,173,2,179,2019-06-15,4.18,2,228
9652170,Best Location in S. Williamsburg,49898234,Lemuel,Brooklyn,Williamsburg,40.71205,-73.95787,Private room,60,7,0,,,1,0
9652365,Sunny Room in Design Loft - Heart of Greenpoint,16356851,Sophia,Brooklyn,Greenpoint,40.73419,-73.95905,Private room,115,5,24,2019-05-19,0.56,2,179
9652413,1 Bedroom Near Columbia/Morningside,17065519,Chelsea,Manhattan,Harlem,40.80407,-73.95762,Entire home/apt,89,1,1,2015-12-26,0.02,1,0
9652438,"Private room in Bushwick, Brooklyn",8308648,Kristina,Brooklyn,Bushwick,40.68781,-73.91695,Private room,70,1,5,2018-07-09,0.14,2,0
9652591,Cozy comfort minutes to Manhattan!,22855974,Lauren + Reggie,Queens,Astoria,40.76561,-73.9248,Private room,89,2,53,2019-06-30,1.33,1,39
9652949,REALLY HUGE&COZY ROOM ASTORIA 10 MIN TO MANHATTAN,433207,Maryann,Queens,Astoria,40.76112,-73.9146,Private room,60,1,150,2019-06-17,3.75,2,179
9653005,Lovely apartment near Prospect Park,4878479,Patrik,Brooklyn,Crown Heights,40.67629,-73.96208,Entire home/apt,130,5,0,,,1,0
9654190,Central Park/Museum of Natural Hist,49907738,Ashley,Manhattan,Upper West Side,40.78494,-73.97663,Entire home/apt,400,1,2,2015-12-26,0.05,1,0
9660635,Brownstone!- 15 min to Manhattan!!,1633246,Natasha,Brooklyn,Bedford-Stuyvesant,40.68736,-73.92369,Entire home/apt,90,4,8,2019-03-25,0.19,4,0
9660751,1 BR in heart of East Village,45166068,Derrick,Manhattan,East Village,40.72316,-73.9844,Entire home/apt,200,2,8,2017-01-01,0.19,1,188
9662070,Large private bedroom in bushwick,506208,Erin,Brooklyn,Bushwick,40.70435,-73.91646,Private room,65,1,2,2016-07-24,0.06,1,0
9663062,Location Eden,3250450,Petya,Queens,Astoria,40.75806,-73.91345,Private room,43,30,3,2018-11-07,0.08,18,310
9664497,Room in Modern Brooklyn Apartment,32173907,Oliver,Brooklyn,Bushwick,40.70433,-73.92652,Private room,55,3,6,2017-04-14,0.14,1,0
9665709,Spacious 1 BR apartment,49951208,Steven,Queens,Long Island City,40.74391,-73.95461,Entire home/apt,120,2,0,,,1,0
9668485,Private BR+Bath Near Central Park,49963831,Mariella,Manhattan,East Harlem,40.79479,-73.94919,Private room,110,1,123,2019-06-10,3.07,1,264
9668948,Huge affordable studio in Wash Hts,13197498,Tazo,Manhattan,Washington Heights,40.85,-73.93797,Entire home/apt,95,7,0,,,1,0
9669305,Mid Nolita Soho Lit. Italy Village,49967558,Joao,Manhattan,NoHo,40.72459,-73.99366,Entire home/apt,145,1,3,2016-01-01,0.07,1,0
9670233,3 Bed - 3 Bath East Village Oasis w Private Patio,49970809,Enzo,Manhattan,East Village,40.72846,-73.98987,Entire home/apt,550,1,141,2019-07-01,3.29,1,302
9674142,1 bed in Chic Apt in Astoria NYC,49620552,Raul,Queens,Astoria,40.76768,-73.90986,Private room,59,1,156,2019-07-02,3.59,4,208
9674453,ENTIRE Chic Apt in Astoria NYC,49620552,Raul,Queens,Astoria,40.76923,-73.91203,Entire home/apt,239,3,8,2019-01-02,0.19,4,274
9674869,Cozy room in Chic Apt Astoria NY,49620552,Raul,Queens,Astoria,40.76933,-73.91164,Private room,49,1,14,2019-06-16,0.32,4,89
9674880,"Large bright room,near Times Square",30312537,Mounia,Manhattan,Hell's Kitchen,40.7608,-73.9947,Private room,95,3,0,,,1,0
9675061,Cozy 1 BR on the Upper East Side,23048845,Carolin,Manhattan,Upper East Side,40.7718,-73.94916,Entire home/apt,160,2,0,,,1,0
9675064,"Clean Quiet 2 Bedroom Apartment,  Private",49991005,Petrona,Brooklyn,Canarsie,40.63013,-73.90809,Entire home/apt,90,2,214,2019-06-08,4.89,1,82
9675609,HUGE sunny room in Williamsburg-2 min from L train,5480274,Mia,Brooklyn,Williamsburg,40.70997,-73.94297,Private room,80,2,9,2017-11-06,0.41,1,0
9676482,Sunny Loft Apartment 5 min. Walk to Pratt! #01401,9966670,Gene,Brooklyn,Bedford-Stuyvesant,40.68986,-73.95892,Entire home/apt,125,3,42,2019-07-02,0.98,1,226
9676890,Spacious Room available,1387286,Felicia,Brooklyn,Williamsburg,40.70796,-73.95035,Private room,65,1,1,2016-04-02,0.03,2,0
9677744,Affordable Studio next to Subway,50001302,David,Manhattan,Harlem,40.82476,-73.9438,Entire home/apt,77,4,63,2018-04-16,1.56,1,0
9677912,"3 BR 2 BA Brownstone Duplex, Yard, sleeps 6, W/E +",50001799,Halona,Brooklyn,Bedford-Stuyvesant,40.69218,-73.93574,Entire home/apt,220,2,26,2019-06-30,0.61,1,8
9678112,Entire 2 bed apartment in Prime Williamsburg,229109,Jonathan,Brooklyn,Williamsburg,40.71462,-73.94641,Entire home/apt,150,40,4,2018-07-21,0.16,2,0
9678327,Bright Williamsburg Apartment,5731898,Sofia,Brooklyn,Williamsburg,40.71,-73.95507,Private room,200,5,8,2017-08-28,0.19,2,0
9678488,Studio in the Heart of WVillage,50003858,Michael,Manhattan,West Village,40.73702,-74.00633,Entire home/apt,200,1,5,2017-04-16,0.12,1,0
9678870,Sunny Heart of Park Slope 1 Bedroom,50005319,Chris,Brooklyn,Park Slope,40.67632,-73.98116,Entire home/apt,160,4,0,,,1,0
9679058,Private bedroom in Williamsburg,5731898,Sofia,Brooklyn,Williamsburg,40.70794,-73.9566,Private room,90,3,28,2017-12-10,0.65,2,0
9679278,Our Unique 3br Home in Bushwick,50006995,Josh And Amanda,Brooklyn,Bushwick,40.7005,-73.92814,Entire home/apt,230,1,1,2016-01-05,0.02,1,0
9679289,"Entire Large Basement, very quiet.",50006975,William,Brooklyn,Bushwick,40.70633,-73.92231,Private room,55,1,1,2016-01-05,0.02,1,0
9679310,Two Large Rooms in Union Sq Duplex,25165109,Alex,Manhattan,Gramercy,40.73429,-73.98689,Private room,160,2,1,2015-12-13,0.02,1,0
9679337,Huge private room in the heart of Williamsburg,4369380,Emmanuel,Brooklyn,Williamsburg,40.71436,-73.95421,Private room,46,3,11,2017-05-22,0.26,1,0
9679935,"Wyndham Resort Midtown 45 NYC Studio Sep 1-4, 2019",24199235,Dar,Manhattan,Midtown,40.75328,-73.97212,Private room,224,3,0,,,1,3
9682617,mid century modern apartment,50015739,Anne,Manhattan,Murray Hill,40.74695,-73.98062,Entire home/apt,300,2,13,2017-04-24,0.30,1,0
9682862,Large Apartment in Manhattan!,50016613,Becky,Manhattan,Harlem,40.8241,-73.95259,Private room,100,3,1,2016-03-28,0.03,1,0
9682898,Bright room in Williamsburg,17261034,Cillian,Brooklyn,Williamsburg,40.71211,-73.95949,Private room,95,12,1,2017-01-01,0.03,1,0
9683486,Mater bedroom in Roosevelt Island,39093118,Song,Manhattan,Roosevelt Island,40.75965,-73.95125,Private room,100,1,0,,,1,0
9683691,Spacious Room + Separate Office,1885068,Joe,Brooklyn,Flatbush,40.65373,-73.95535,Private room,47,1,0,,,1,0
9684366,"UWS, Big Private Room, CP + Metro!",16024390,M,Manhattan,Upper West Side,40.79499,-73.96631,Private room,139,1,0,,,1,0
9684503,Big Comfy Bedroom 20 mins from Midtown Manhattan!,50024703,Emily,Queens,Astoria,40.75658,-73.92181,Private room,68,3,6,2017-10-07,0.14,1,0
9684732,Spacious pre-war apartment in Crown Heights,11054692,Samuel,Brooklyn,Crown Heights,40.66951,-73.94931,Entire home/apt,110,1,0,,,1,0
9684998,Sunny 1 bedroom in Upper East Side,6115134,Masa,Manhattan,Upper East Side,40.77849,-73.95046,Entire home/apt,112,4,13,2019-03-08,0.30,1,0
9685104,Beautiful room at nice NYC location,46846064,Frahydel,Manhattan,Roosevelt Island,40.76359,-73.94982,Private room,85,3,32,2018-12-29,0.90,2,0
9685114,Live in the clouds,33833815,Bradley,Brooklyn,Fort Greene,40.68878,-73.97995,Entire home/apt,450,1,0,,,1,0
9685158,Awesome East Village Apartment!,28191353,Norah And James,Manhattan,East Village,40.72912,-73.97854,Entire home/apt,390,7,0,,,1,0
9685213,Winter Sublet 24Dec-18Jan (Midtown),50028109,Kriti,Manhattan,Morningside Heights,40.81109,-73.95904,Private room,55,1,0,,,1,0
9685865,Pvt Room W/Pvt Bathroom; NO KITCHEN!,50031308,Raj,Brooklyn,Midwood,40.63009,-73.96671,Private room,55,4,47,2019-07-03,1.09,1,304
9686167,Beautiful Large Bedroom on UWS !!,50032395,Wayne And Yesim,Manhattan,Upper West Side,40.80023,-73.96678,Private room,85,1,7,2016-04-02,0.16,2,188
9689359,Cozy & Modern ..... 2 Bedroom,50045329,Joann,Brooklyn,Dyker Heights,40.6186,-74.0071,Entire home/apt,160,3,52,2019-06-29,1.20,1,291
9689477,Large Studio - Lincoln Center,42694270,Thomas,Manhattan,Upper West Side,40.77401,-73.99056,Entire home/apt,155,4,6,2017-08-02,0.14,1,0
9690687,Huge Brooklyn Apartment,2088995,Padraic,Brooklyn,Flatbush,40.65326,-73.95513,Entire home/apt,70,2,1,2019-04-10,0.33,1,0
9691204,Spacious / Garden Condo Ft. Greene,50053165,Carina,Brooklyn,Fort Greene,40.68574,-73.97045,Entire home/apt,185,1,1,2015-12-31,0.02,1,0
9691842,"New, Bright&Spacious cool apartment",38596175,Noa,Brooklyn,Williamsburg,40.71654,-73.94104,Entire home/apt,90,7,0,,,1,0
9692074,Student apt. 3 minutes from the 1/C,34796316,Tripp,Manhattan,Morningside Heights,40.80562,-73.95978,Private room,200,7,1,2016-01-18,0.02,1,0
9692090,LES Private Bedroom,9507017,Andrew,Manhattan,Lower East Side,40.71954,-73.99067,Private room,58,10,0,,,1,0
9692205,East Manhattan (March 10th-18th),42950170,Jenn,Manhattan,East Village,40.72636,-73.98231,Private room,70,4,2,2017-03-10,0.05,1,0
9692740,Convenient apartment in Manhattan,50013026,Abby,Manhattan,Upper West Side,40.80012,-73.96441,Private room,50,1,2,2015-12-04,0.05,1,0
9693080,Entire 1BR apartment in NYC,634195,Luis,Queens,Sunnyside,40.74509,-73.9236,Entire home/apt,85,4,2,2016-08-11,0.05,1,0
9693821,2 Bedroom + Futon - Manhattan,35321358,Collin,Manhattan,East Harlem,40.78626,-73.94295,Entire home/apt,200,6,0,,,1,0
9694001,West Village Studio Apartment,28422539,Tomas,Manhattan,West Village,40.73713,-74.00059,Entire home/apt,250,7,0,,,1,0
9694297,Private room in Historic Queens NY,50064597,David,Queens,Woodhaven,40.69472,-73.84856,Private room,45,2,5,2017-08-21,0.12,1,0
9694633,Renovated Greenpoint Apartment,3245480,Mike,Brooklyn,Greenpoint,40.73154,-73.95485,Entire home/apt,109,4,4,2019-01-01,0.09,1,0
9695052,Owl's Landing - The Twins,50068597,Alex,Staten Island,Stapleton,40.63573,-74.0772,Private room,48,2,112,2019-07-02,2.60,3,316
9695552,Comfty 1BR apt in Upper West Side,14651590,Eva,Manhattan,Morningside Heights,40.80462,-73.96074,Entire home/apt,150,7,4,2017-01-04,0.09,1,0
9696139,BK Oasis- Private 1BD in Heart of Williamsburg,2024620,Anika,Brooklyn,Williamsburg,40.71753,-73.95742,Entire home/apt,350,2,9,2017-09-07,0.27,1,130
9696307,"Small, cozy studio in the UWS",25499953,Magdalena,Manhattan,Upper West Side,40.80246,-73.96884,Entire home/apt,100,2,1,2016-02-14,0.02,1,0
9696357,Huge 1BD near Central Park Sleeps 5,48678883,D,Manhattan,Upper East Side,40.76871,-73.95479,Entire home/apt,177,1,136,2019-06-19,3.12,1,258
9696653,Stylish 1br apt west village,5291029,Qiyao,Manhattan,Greenwich Village,40.73411,-73.99787,Entire home/apt,108,1,111,2019-02-25,2.57,1,0
9697749,Private bedroom in BedStuy!,43380791,Ali,Brooklyn,Bedford-Stuyvesant,40.68762,-73.92318,Private room,28,10,1,2016-01-06,0.02,1,0
9697969,East Village 3 Bedroom Apt,50080673,Eric,Manhattan,East Village,40.73033,-73.98788,Private room,101,1,0,,,1,0
9698613,"1 Bedroom Sublet in Astoria, NY",50084376,Asijah,Queens,Ditmars Steinway,40.77472,-73.90993,Private room,35,1,2,2016-01-05,0.05,1,0
9698691,"Big 1 Bed, kitchen, living room, TV",50084137,Andrew,Queens,Jackson Heights,40.75251,-73.8898,Entire home/apt,105,7,2,2016-01-31,0.05,1,0
9698905,Cozy private room w/ensuite bathroom!!,2262706,Shabari,Brooklyn,Carroll Gardens,40.68378,-73.992,Private room,95,1,2,2017-04-23,0.06,1,0
9698992,-CLEAN ROOM - New Apartment - Manhattan,43298076,Gordon M,Manhattan,Harlem,40.82195,-73.95373,Private room,62,2,24,2019-06-14,0.55,4,97
9699378,"Spacious, Quiet, 20 steps to subway",24445542,Nicole,Manhattan,Harlem,40.82569,-73.94277,Private room,65,2,0,,,1,0
9699559,Newly Renovated Midtown Apartment,3655401,Stephen,Manhattan,Kips Bay,40.74106,-73.97818,Entire home/apt,150,3,2,2016-01-02,0.05,1,0
9703075,2BR in Beautiful Brownstone!!!,38014669,Stephanie,Brooklyn,Bushwick,40.68996,-73.92046,Entire home/apt,113,7,38,2019-05-24,0.94,1,355
9705782,Spacious Brooklyn Brownstone 3BR+,8144242,Kerry,Brooklyn,Bedford-Stuyvesant,40.68382,-73.95566,Entire home/apt,300,2,24,2017-07-04,0.56,1,0
9705958,"Comfy, family-friendly BedStuy apt",20007675,Veleda And Orion,Brooklyn,Bedford-Stuyvesant,40.68389,-73.93437,Entire home/apt,65,2,4,2016-01-13,0.09,1,0
9706724,Cozy Apartment in Crown Heights,50086145,Liam,Brooklyn,Crown Heights,40.66916,-73.95125,Private room,55,2,5,2017-01-01,0.12,1,0
9707469,"Brooklyn Heights ""Tree House""",7185488,Jeff,Brooklyn,Brooklyn Heights,40.69565,-73.99663,Entire home/apt,150,8,0,,,1,0
9707498,"Sunny, Quiet Home in Brooklyn's Best Area (Legal)",43438475,Viviana,Brooklyn,South Slope,40.66759,-73.99009,Entire home/apt,120,3,152,2019-06-27,3.60,3,180
9707531,Bright & Clean 1bed apt *PRIME* LES,35671352,Erin,Manhattan,Lower East Side,40.71941,-73.98534,Entire home/apt,160,1,2,2016-03-20,0.05,1,0
9707671,Cozy Apartment,14811787,Will,Manhattan,Upper East Side,40.76675,-73.95144,Private room,135,2,10,2019-07-01,0.23,2,339
9707735,Entire 2 BR Williamsburg Apt (parking/near train),15647614,Lin,Brooklyn,Williamsburg,40.7162,-73.95384,Entire home/apt,175,1,11,2019-05-12,0.36,2,37
9708577,Miriams Place,50126257,Miriam,Brooklyn,Borough Park,40.63692,-73.99063,Entire home/apt,300,2,51,2019-06-30,2.06,1,297
9709428,Apt Williamsburg! Perfect location!,40044130,Daniela,Brooklyn,Williamsburg,40.71009,-73.953,Private room,80,6,2,2016-06-13,0.05,1,0
9709801,Large room,50131208,Rob,Queens,Astoria,40.76994,-73.91841,Private room,40,1,0,,,1,0
9710169,Doorman 1 bedroom GYM Deck Luxury!5203,16098958,Jeremy & Laura,Manhattan,Midtown,40.76601,-73.97789,Entire home/apt,170,30,1,2017-05-14,0.04,96,332
9710184,1 br Apt in Washington Heights,20709383,Elena,Manhattan,Washington Heights,40.84504,-73.93658,Entire home/apt,85,90,1,2017-01-08,0.03,1,0
9710538,Beautiful apartment with a loft.,50132533,Kristy,Bronx,Riverdale,40.88422,-73.90886,Entire home/apt,85,1,0,,,1,0
9710620,1-bed Apt in Crown Heights,7027191,Matthew,Brooklyn,Crown Heights,40.6773,-73.95001,Entire home/apt,84,10,2,2017-01-22,0.05,1,0
9711313,Cozy 4BD 2.5BR w/Jacuzzi & Parking,14163805,Michael,Brooklyn,Prospect-Lefferts Gardens,40.66001,-73.94664,Entire home/apt,399,3,129,2019-06-24,3.20,1,237
9711921,The Archive West Village,30707611,Beth,Manhattan,West Village,40.73123,-74.00684,Entire home/apt,450,1,0,,,1,0
9712126,••BEST Manhattan Downtown Location!••,9339714,Jessica,Manhattan,Gramercy,40.73304,-73.9843,Entire home/apt,140,3,103,2019-06-24,2.46,2,270
9712682,Brownstone 1 BR with Huge Backyard,2412806,Amadou,Brooklyn,Fort Greene,40.68792,-73.97904,Entire home/apt,210,2,115,2019-06-21,2.66,1,247
9712796,Charming Upper West Side 1BR Apt,50143518,Penda And Sebastien,Manhattan,Upper West Side,40.80172,-73.9656,Entire home/apt,135,4,0,,,1,0
9712829,Light and Airy Loft in Williamsburg,8262339,Michael,Brooklyn,Williamsburg,40.71287,-73.96325,Entire home/apt,200,3,3,2019-05-05,0.42,1,0
9713045,Lovely and spacious 2BR/2 bath apt,50144728,Cedrick,Manhattan,Harlem,40.80463,-73.95044,Entire home/apt,200,2,148,2019-06-18,3.47,1,0
9713048,Large Bedstuy/Bushwick Room,50144624,Christian,Brooklyn,Bedford-Stuyvesant,40.69444,-73.93746,Private room,47,2,2,2016-06-10,0.05,1,0
9713116,Cheerful 1BR Bed-Stuy Apartment with Cat,50144878,Bailey,Brooklyn,Bedford-Stuyvesant,40.68362,-73.94646,Entire home/apt,50,7,1,2016-08-01,0.03,1,0
9713594,Cozy roof top apartment,11575335,Alejandro,Brooklyn,Crown Heights,40.67762,-73.95764,Private room,95,2,9,2017-09-09,0.21,1,342
9713626,Meatpacking - Luxury Brownstone,13148824,Ali,Manhattan,Chelsea,40.74186,-74.00528,Entire home/apt,280,2,6,2017-01-01,0.14,1,0
9713934,Beautiful Apartment in the heart of Brooklyn,16164068,Richard,Brooklyn,Bedford-Stuyvesant,40.68,-73.95526,Private room,50,3,5,2017-05-29,0.13,1,0
9713997,Extra BR in dreamlike soho loft,1317360,John,Manhattan,SoHo,40.72145,-74.00231,Private room,200,1,16,2019-05-22,0.83,2,365
9714004,Spacious and Bright Two Bedroom Bedroom Apartment.,50148553,Anna,Manhattan,Theater District,40.76278,-73.98498,Private room,197,3,18,2017-09-08,0.46,1,0
9714870,Lovely Brooklyn Garden Apt,202665,Joy & Jesse,Brooklyn,Bedford-Stuyvesant,40.68675,-73.95865,Entire home/apt,120,5,4,2017-11-25,0.12,1,0
9714880,Brooklyn Artist Loft-Style,50152355,Kevin,Brooklyn,Bushwick,40.69715,-73.92243,Entire home/apt,60,14,0,,,1,0
